PassengerId,Ticket,Pclass,Cabin,Embarked,Fare
143,STON/O2. 3101279,3,,S,15.85
144,365222,3,,Q,6.75
145,231945,2,,S,11.5
146,C.A. 33112,2,,S,36.75
147,350043,3,,S,7.7958
148,W./C. 6608,3,,S,34.375
149,230080,2,F2,S,26
150,244310,2,,S,13
151,S.O.P. 1166,2,,S,12.525
152,113776,1,C2,S,66.6
153,A.5. 11206,3,,S,8.05
154,A/5. 851,3,,S,14.5
155,Fa 265302,3,,S,7.3125
156,PC 17597,1,,C,61.3792
157,35851,3,,Q,7.7333
158,SOTON/OQ 392090,3,,S,8.05
159,315037,3,,S,8.6625
160,CA. 2343,3,,S,69.55
161,371362,3,,S,16.1
162,C.A. 33595,2,,S,15.75
163,347068,3,,S,7.775
164,315093,3,,S,8.6625
165,3101295,3,,S,39.6875
166,363291,3,,S,20.525
167,113505,1,E33,S,55
168,347088,3,,S,27.9
169,PC 17318,1,,S,25.925
170,1601,3,,S,56.4958
171,111240,1,B19,S,33.5
172,382652,3,,Q,29.125
173,347742,3,,S,11.1333
174,STON/O 2. 3101280,3,,S,7.925
175,17764,1,A7,C,30.6958
176,350404,3,,S,7.8542
177,4133,3,,S,25.4667
178,PC 17595,1,C49,C,28.7125
179,250653,2,,S,13
180,LINE,3,,S,0
181,CA. 2343,3,,S,69.55
182,SC/PARIS 2131,2,,C,15.05
183,347077,3,,S,31.3875
184,230136,2,F4,S,39
185,315153,3,,S,22.025
186,113767,1,A32,S,50
187,370365,3,,Q,15.5
188,111428,1,,S,26.55
189,364849,3,,Q,15.5
190,349247,3,,S,7.8958
191,234604,2,,S,13
192,28424,2,,S,13
193,350046,3,,S,7.8542
194,230080,2,F2,S,26
195,PC 17610,1,B4,C,27.7208
196,PC 17569,1,B80,C,146.5208
197,368703,3,,Q,7.75
198,4579,3,,S,8.4042
199,370370,3,,Q,7.75
200,248747,2,,S,13
201,345770,3,,S,9.5
202,CA. 2343,3,,S,69.55
203,3101264,3,,S,6.4958
204,2628,3,,C,7.225
205,A/5 3540,3,,S,8.05
206,347054,3,G6,S,10.4625
207,3101278,3,,S,15.85
208,2699,3,,C,18.7875
209,367231,3,,Q,7.75
210,112277,1,A31,C,31
211,SOTON/O.Q. 3101311,3,,S,7.05
212,F.C.C. 13528,2,,S,21
213,A/5 21174,3,,S,7.25
214,250646,2,,S,13
215,367229,3,,Q,7.75
216,35273,1,D36,C,113.275
217,STON/O2. 3101283,3,,S,7.925
218,243847,2,,S,27
219,11813,1,D15,C,76.2917
220,W/C 14208,2,,S,10.5
221,SOTON/OQ 392089,3,,S,8.05
222,220367,2,,S,13
223,21440,3,,S,8.05
224,349234,3,,S,7.8958
225,19943,1,C93,S,90
226,PP 4348,3,,S,9.35
227,SW/PP 751,2,,S,10.5
228,A/5 21173,3,,S,7.25
229,236171,2,,S,13
230,4133,3,,S,25.4667
231,36973,1,C83,S,83.475
232,347067,3,,S,7.775
233,237442,2,,S,13.5
234,347077,3,,S,31.3875
235,C.A. 29566,2,,S,10.5
236,W./C. 6609,3,,S,7.55
237,26707,2,,S,26
238,C.A. 31921,2,,S,26.25
239,28665,2,,S,10.5
240,SCO/W 1585,2,,S,12.275
241,2665,3,,C,14.4542
242,367230,3,,Q,15.5
243,W./C. 14263,2,,S,10.5
244,STON/O 2. 3101275,3,,S,7.125
245,2694,3,,C,7.225
246,19928,1,C78,Q,90
247,347071,3,,S,7.775
248,250649,2,,S,14.5
249,11751,1,D35,S,52.5542
250,244252,2,,S,26
251,362316,3,,S,7.25
252,347054,3,G6,S,10.4625
253,113514,1,C87,S,26.55
254,A/5. 3336,3,,S,16.1
255,370129,3,,S,20.2125
256,2650,3,,C,15.2458
257,PC 17585,1,,C,79.2
258,110152,1,B77,S,86.5
259,PC 17755,1,,C,512.3292
260,230433,2,,S,26
261,384461,3,,Q,7.75
262,347077,3,,S,31.3875
263,110413,1,E67,S,79.65
264,112059,1,B94,S,0
265,382649,3,,Q,7.75
266,C.A. 17248,2,,S,10.5
267,3101295,3,,S,39.6875
268,347083,3,,S,7.775
269,PC 17582,1,C125,S,153.4625
270,PC 17760,1,C99,S,135.6333
271,113798,1,,S,31
272,LINE,3,,S,0
273,250644,2,,S,19.5
274,PC 17596,1,C118,C,29.7
275,370375,3,,Q,7.75
276,13502,1,D7,S,77.9583
277,347073,3,,S,7.75
278,239853,2,,S,0
279,382652,3,,Q,29.125
280,C.A. 2673,3,,S,20.25
281,336439,3,,Q,7.75
282,347464,3,,S,7.8542
283,345778,3,,S,9.5
284,A/5. 10482,3,,S,8.05
285,113056,1,A19,S,26
286,349239,3,,C,8.6625
287,345774,3,,S,9.5
288,349206,3,,S,7.8958
289,237798,2,,S,13
290,370373,3,,Q,7.75
291,19877,1,,S,78.85
292,11967,1,B49,C,91.0792
293,SC/Paris 2163,2,D,C,12.875
294,349236,3,,S,8.85
295,349233,3,,S,7.8958
296,PC 17612,1,,C,27.7208
297,2693,3,,C,7.2292
298,113781,1,C22 C26,S,151.55
299,19988,1,C106,S,30.5
300,PC 17558,1,B58 B60,C,247.5208
301,9234,3,,Q,7.75
302,367226,3,,Q,23.25
303,LINE,3,,S,0
304,226593,2,E101,Q,12.35
305,A/5 2466,3,,S,8.05
306,113781,1,C22 C26,S,151.55
307,17421,1,,C,110.8833
308,PC 17758,1,C65,C,108.9
309,P/PP 3381,2,,C,24
310,PC 17485,1,E36,C,56.9292
311,11767,1,C54,C,83.1583
312,PC 17608,1,B57 B59 B63 B66,C,262.375
313,250651,2,,S,26
314,349243,3,,S,7.8958
315,F.C.C. 13529,2,,S,26.25
316,347470,3,,S,7.8542
317,244367,2,,S,26
318,29011,2,,S,14
319,36928,1,C7,S,164.8667
320,16966,1,E34,C,134.5
321,A/5 21172,3,,S,7.25
322,349219,3,,S,7.8958
323,234818,2,,Q,12.35
324,248738,2,,S,29
325,CA. 2343,3,,S,69.55
326,PC 17760,1,C32,C,135.6333
327,345364,3,,S,6.2375
328,28551,2,D,S,13
329,363291,3,,S,20.525
330,111361,1,B18,C,57.9792
331,367226,3,,Q,23.25
332,113043,1,C124,S,28.5
333,PC 17582,1,C91,S,153.4625
334,345764,3,,S,18
335,PC 17611,1,,S,133.65
336,349225,3,,S,7.8958
337,113776,1,C2,S,66.6
338,16966,1,E40,C,134.5
339,7598,3,,S,8.05
340,113784,1,T,S,35.5
341,230080,2,F2,S,26
342,19950,1,C23 C25 C27,S,263
343,248740,2,,S,13
344,244361,2,,S,13
345,229236,2,,S,13
346,248733,2,F33,S,13
347,31418,2,,S,13
348,386525,3,,S,16.1
349,C.A. 37671,3,,S,15.9
350,315088,3,,S,8.6625
351,7267,3,,S,9.225
352,113510,1,C128,S,35
353,2695,3,,C,7.2292
354,349237,3,,S,17.8
355,2647,3,,C,7.225
356,345783,3,,S,9.5
357,113505,1,E33,S,55
358,237671,2,,S,13
359,330931,3,,Q,7.8792
360,330980,3,,Q,7.8792
361,347088,3,,S,27.9
362,SC/PARIS 2167,2,,C,27.7208
363,2691,3,,C,14.4542
364,SOTON/O.Q. 3101310,3,,S,7.05
365,370365,3,,Q,15.5
366,C 7076,3,,S,7.25
367,110813,1,D37,C,75.25
368,2626,3,,C,7.2292
369,14313,3,,Q,7.75
370,PC 17477,1,B35,C,69.3
371,11765,1,E50,C,55.4417
372,3101267,3,,S,6.4958
373,323951,3,,S,8.05
374,PC 17760,1,,C,135.6333
375,349909,3,,S,21.075
376,PC 17604,1,,C,82.1708
377,C 7077,3,,S,7.25
378,113503,1,C82,C,211.5
379,2648,3,,C,4.0125
380,347069,3,,S,7.775
381,PC 17757,1,,C,227.525
382,2653,3,,C,15.7417
383,STON/O 2. 3101293,3,,S,7.925
384,113789,1,,S,52
385,349227,3,,S,7.8958
386,S.O.C. 14879,2,,S,73.5
387,CA 2144,3,,S,46.9
388,27849,2,,S,13
389,367655,3,,Q,7.7292
390,SC 1748,2,,C,12
391,113760,1,B96 B98,S,120
392,350034,3,,S,7.7958
393,3101277,3,,S,7.925
394,35273,1,D36,C,113.275
395,PP 9549,3,G6,S,16.7
396,350052,3,,S,7.7958
397,350407,3,,S,7.8542
398,28403,2,,S,26
399,244278,2,,S,10.5
400,240929,2,,S,12.65
401,STON/O 2. 3101289,3,,S,7.925
402,341826,3,,S,8.05
403,4137,3,,S,9.825
404,STON/O2. 3101279,3,,S,15.85
405,315096,3,,S,8.6625
406,28664,2,,S,21
407,347064,3,,S,7.75
408,29106,2,,S,18.75
409,312992,3,,S,7.775
410,4133,3,,S,25.4667
411,349222,3,,S,7.8958
412,394140,3,,Q,6.8583
413,19928,1,C78,Q,90
414,239853,2,,S,0
415,STON/O 2. 3101269,3,,S,7.925
416,343095,3,,S,8.05
417,28220,2,,S,32.5
418,250652,2,,S,13
419,28228,2,,S,13
420,345773,3,,S,24.15
421,349254,3,,C,7.8958
422,A/5. 13032,3,,Q,7.7333
423,315082,3,,S,7.875
424,347080,3,,S,14.4
425,370129,3,,S,20.2125
426,A/4. 34244,3,,S,7.25
427,2003,2,,S,26
428,250655,2,,S,26
429,364851,3,,Q,7.75
430,SOTON/O.Q. 392078,3,E10,S,8.05
431,110564,1,C52,S,26.55
432,376564,3,,S,16.1
433,SC/AH 3085,2,,S,26
434,STON/O 2. 3101274,3,,S,7.125
435,13507,1,E44,S,55.9
436,113760,1,B96 B98,S,120
437,W./C. 6608,3,,S,34.375
438,29106,2,,S,18.75
439,19950,1,C23 C25 C27,S,263
440,C.A. 18723,2,,S,10.5
441,F.C.C. 13529,2,,S,26.25
442,345769,3,,S,9.5
443,347076,3,,S,7.775
444,230434,2,,S,13
445,65306,3,,S,8.1125
446,33638,1,A34,S,81.8583
447,250644,2,,S,19.5
448,113794,1,,S,26.55
449,2666,3,,C,19.2583
450,113786,1,C104,S,30.5
451,C.A. 34651,2,,S,27.75
452,65303,3,,S,19.9667
453,113051,1,C111,C,27.75
454,17453,1,C92,C,89.1042
455,A/5 2817,3,,S,8.05
456,349240,3,,C,7.8958
457,13509,1,E38,S,26.55
458,17464,1,D21,S,51.8625
459,F.C.C. 13531,2,,S,10.5
460,371060,3,,Q,7.75
461,19952,1,E12,S,26.55
462,364506,3,,S,8.05
463,111320,1,E63,S,38.5
464,234360,2,,S,13
465,A/S 2816,3,,S,8.05
466,SOTON/O.Q. 3101306,3,,S,7.05
467,239853,2,,S,0
468,113792,1,,S,26.55
469,36209,3,,Q,7.725
470,2666,3,,C,19.2583
471,323592,3,,S,7.25
472,315089,3,,S,8.6625
473,C.A. 34651,2,,S,27.75
474,SC/AH Basle 541,2,D,C,13.7917
475,7553,3,,S,9.8375
476,110465,1,A14,S,52
477,31027,2,,S,21
478,3460,3,,S,7.0458
479,350060,3,,S,7.5208
480,3101298,3,,S,12.2875
481,CA 2144,3,,S,46.9
482,239854,2,,S,0
483,A/5 3594,3,,S,8.05
484,4134,3,,S,9.5875
485,11967,1,B49,C,91.0792
486,4133,3,,S,25.4667
487,19943,1,C93,S,90
488,11771,1,B37,C,29.7
489,A.5. 18509,3,,S,8.05
490,C.A. 37671,3,,S,15.9
491,65304,3,,S,19.9667
492,SOTON/OQ 3101317,3,,S,7.25
493,113787,1,C30,S,30.5
494,PC 17609,1,,C,49.5042
495,A/4 45380,3,,S,8.05
496,2627,3,,C,14.4583
497,36947,1,D20,C,78.2667
498,C.A. 6212,3,,S,15.1
499,113781,1,C22 C26,S,151.55
500,350035,3,,S,7.7958
501,315086,3,,S,8.6625
502,364846,3,,Q,7.75
503,330909,3,,Q,7.6292
504,4135,3,,S,9.5875
505,110152,1,B79,S,86.5
506,PC 17758,1,C65,C,108.9
507,26360,2,,S,26
508,111427,1,,S,26.55
509,C 4001,3,,S,22.525
510,1601,3,,S,56.4958
511,382651,3,,Q,7.75
512,SOTON/OQ 3101316,3,,S,8.05
513,PC 17473,1,E25,S,26.2875
514,PC 17603,1,,C,59.4
515,349209,3,,S,7.4958
516,36967,1,D46,S,34.0208
517,C.A. 34260,2,F33,S,10.5
518,371110,3,,Q,24.15
519,226875,2,,S,26
520,349242,3,,S,7.8958
521,12749,1,B73,S,93.5
522,349252,3,,S,7.8958
523,2624,3,,C,7.225
524,111361,1,B18,C,57.9792
525,2700,3,,C,7.2292
526,367232,3,,Q,7.75
527,W./C. 14258,2,,S,10.5
528,PC 17483,1,C95,S,221.7792
529,3101296,3,,S,7.925
530,29104,2,,S,11.5
531,26360,2,,S,26
532,2641,3,,C,7.2292
533,2690,3,,C,7.2292
534,2668,3,,C,22.3583
535,315084,3,,S,8.6625
536,F.C.C. 13529,2,,S,26.25
537,113050,1,B38,S,26.55
538,PC 17761,1,,C,106.425
539,364498,3,,S,14.5
540,13568,1,B39,C,49.5
541,WE/P 5735,1,B22,S,71
542,347082,3,,S,31.275
543,347082,3,,S,31.275
544,2908,2,,S,26
545,PC 17761,1,C86,C,106.425
546,693,1,,S,26
547,2908,2,,S,26
548,SC/PARIS 2146,2,,C,13.8625
549,363291,3,,S,20.525
550,C.A. 33112,2,,S,36.75
551,17421,1,C70,C,110.8833
552,244358,2,,S,26
553,330979,3,,Q,7.8292
554,2620,3,,C,7.225
555,347085,3,,S,7.775
556,113807,1,,S,26.55
557,11755,1,A16,C,39.6
558,PC 17757,1,,C,227.525
559,110413,1,E67,S,79.65
560,345572,3,,S,17.4
561,372622,3,,Q,7.75
562,349251,3,,S,7.8958
563,218629,2,,S,13.5
564,SOTON/OQ 392082,3,,S,8.05
565,SOTON/O.Q. 392087,3,,S,8.05
566,A/4 48871,3,,S,24.15
567,349205,3,,S,7.8958
568,349909,3,,S,21.075
569,2686,3,,C,7.2292
570,350417,3,,S,7.8542
571,S.W./PP 752,2,,S,10.5
572,11769,1,C101,S,51.4792
573,PC 17474,1,E25,S,26.3875
574,14312,3,,Q,7.75
575,A/4. 20589,3,,S,8.05
576,358585,3,,S,14.5
577,243880,2,,S,13
578,13507,1,E44,S,55.9
579,2689,3,,C,14.4583
580,STON/O 2. 3101286,3,,S,7.925
581,237789,2,,S,30
582,17421,1,C68,C,110.8833
583,28403,2,,S,26
584,13049,1,A10,C,40.125
585,3411,3,,C,8.7125
586,110413,1,E68,S,79.65
587,237565,2,,S,15
588,13567,1,B41,C,79.2
589,14973,3,,S,8.05
590,A./5. 3235,3,,S,8.05
591,STON/O 2. 3101273,3,,S,7.125
592,36947,1,D20,C,78.2667
593,A/5 3902,3,,S,7.25
594,364848,3,,Q,7.75
595,SC/AH 29037,2,,S,26
596,345773,3,,S,24.15
597,248727,2,,S,33
598,LINE,3,,S,0
599,2664,3,,C,7.225
600,PC 17485,1,A20,C,56.9292
601,243847,2,,S,27
602,349214,3,,S,7.8958
603,113796,1,,S,42.4
604,364511,3,,S,8.05
605,111426,1,,C,26.55
606,349910,3,,S,15.55
607,349246,3,,S,7.8958
608,113804,1,,S,30.5
609,SC/Paris 2123,2,,C,41.5792
610,PC 17582,1,C125,S,153.4625
611,347082,3,,S,31.275
612,SOTON/O.Q. 3101305,3,,S,7.05
613,367230,3,,Q,15.5
614,370377,3,,Q,7.75
615,364512,3,,S,8.05
616,220845,2,,S,65
617,347080,3,,S,14.4
618,A/5. 3336,3,,S,16.1
619,230136,2,F4,S,39
620,31028,2,,S,10.5
621,2659,3,,C,14.4542
622,11753,1,D19,S,52.5542
623,2653,3,,C,15.7417
624,350029,3,,S,7.8542
625,54636,3,,S,16.1
626,36963,1,D50,S,32.3208
627,219533,2,,Q,12.35
628,13502,1,D9,S,77.9583
629,349224,3,,S,7.8958
630,334912,3,,Q,7.7333
631,27042,1,A23,S,30
632,347743,3,,S,7.0542
633,13214,1,B50,C,30.5
634,112052,1,,S,0
635,347088,3,,S,27.9
636,237668,2,,S,13
637,STON/O 2. 3101292,3,,S,7.925
638,C.A. 31921,2,,S,26.25
639,3101295,3,,S,39.6875
640,376564,3,,S,16.1
641,350050,3,,S,7.8542
642,PC 17477,1,B35,C,69.3
643,347088,3,,S,27.9
644,1601,3,,S,56.4958
645,2666,3,,C,19.2583
646,PC 17572,1,D33,C,76.7292
647,349231,3,,S,7.8958
648,13213,1,A26,C,35.5
649,S.O./P.P. 751,3,,S,7.55
650,CA. 2314,3,,S,7.55
651,349221,3,,S,7.8958
652,231919,2,,S,23
653,8475,3,,S,8.4333
654,330919,3,,Q,7.8292
655,365226,3,,Q,6.75
656,S.O.C. 14879,2,,S,73.5
657,349223,3,,S,7.8958
658,364849,3,,Q,15.5
659,29751,2,,S,13
660,35273,1,D48,C,113.275
661,PC 17611,1,,S,133.65
662,2623,3,,C,7.225
663,5727,1,E58,S,25.5875
664,349210,3,,S,7.4958
665,STON/O 2. 3101285,3,,S,7.925
666,S.O.C. 14879,2,,S,73.5
667,234686,2,,S,13
668,312993,3,,S,7.775
669,A/5 3536,3,,S,8.05
670,19996,1,C126,S,52
671,29750,2,,S,39
672,F.C. 12750,1,B71,S,52
673,C.A. 24580,2,,S,10.5
674,244270,2,,S,13
675,239856,2,,S,0
676,349912,3,,S,7.775
677,342826,3,,S,8.05
678,4138,3,,S,9.8417
679,CA 2144,3,,S,46.9
680,PC 17755,1,B51 B53 B55,C,512.3292
681,330935,3,,Q,8.1375
682,PC 17572,1,D49,C,76.7292
683,6563,3,,S,9.225
684,CA 2144,3,,S,46.9
685,29750,2,,S,39
686,SC/Paris 2123,2,,C,41.5792
687,3101295,3,,S,39.6875
688,349228,3,,S,10.1708
689,350036,3,,S,7.7958
690,24160,1,B5,S,211.3375
691,17474,1,B20,S,57
692,349256,3,,C,13.4167
693,1601,3,,S,56.4958
694,2672,3,,C,7.225
695,113800,1,,S,26.55
696,248731,2,,S,13.5
697,363592,3,,S,8.05
698,35852,3,,Q,7.7333
699,17421,1,C68,C,110.8833
700,348121,3,F G63,S,7.65
701,PC 17757,1,C62 C64,C,227.525
702,PC 17475,1,E24,S,26.2875
703,2691,3,,C,14.4542
704,36864,3,,Q,7.7417
705,350025,3,,S,7.8542
706,250655,2,,S,26
707,223596,2,,S,13.5
708,PC 17476,1,E24,S,26.2875
709,113781,1,,S,151.55
710,2661,3,,C,15.2458
711,PC 17482,1,C90,C,49.5042
712,113028,1,C124,S,26.55
713,19996,1,C126,S,52
714,7545,3,,S,9.4833
715,250647,2,,S,13
716,348124,3,F G73,S,7.65
717,PC 17757,1,C45,C,227.525
718,34218,2,E101,S,10.5
719,36568,3,,Q,15.5
720,347062,3,,S,7.775
721,248727,2,,S,33
722,350048,3,,S,7.0542
723,12233,2,,S,13
724,250643,2,,S,13
725,113806,1,E8,S,53.1
726,315094,3,,S,8.6625
727,31027,2,,S,21
728,36866,3,,Q,7.7375
729,236853,2,,S,26
730,STON/O2. 3101271,3,,S,7.925
731,24160,1,B5,S,211.3375
732,2699,3,,C,18.7875
733,239855,2,,S,0
734,28425,2,,S,13
735,233639,2,,S,13
736,54636,3,,S,16.1
737,W./C. 6608,3,,S,34.375
738,PC 17755,1,B101,C,512.3292
739,349201,3,,S,7.8958
740,349218,3,,S,7.8958
741,16988,1,D45,S,30
742,19877,1,C46,S,78.85
743,PC 17608,1,B57 B59 B63 B66,C,262.375
744,376566,3,,S,16.1
745,STON/O 2. 3101288,3,,S,7.925
746,WE/P 5735,1,B22,S,71
747,C.A. 2673,3,,S,20.25
748,250648,2,,S,13
749,113773,1,D30,S,53.1
750,335097,3,,Q,7.75
751,29103,2,,S,23
752,392096,3,E121,S,12.475
753,345780,3,,S,9.5
754,349204,3,,S,7.8958
755,220845,2,,S,65
756,250649,2,,S,14.5
757,350042,3,,S,7.7958
758,29108,2,,S,11.5
759,363294,3,,S,8.05
760,110152,1,B77,S,86.5
761,358585,3,,S,14.5
762,SOTON/O2 3101272,3,,S,7.125
763,2663,3,,C,7.2292
764,113760,1,B96 B98,S,120
765,347074,3,,S,7.775
766,13502,1,D11,S,77.9583
767,112379,1,,C,39.6
768,364850,3,,Q,7.75
769,371110,3,,Q,24.15
770,8471,3,,S,8.3625
771,345781,3,,S,9.5
772,350047,3,,S,7.8542
773,S.O./P.P. 3,2,E77,S,10.5
774,2674,3,,C,7.225
775,29105,2,,S,23
776,347078,3,,S,7.75
777,383121,3,F38,Q,7.75
778,364516,3,,S,12.475
779,36865,3,,Q,7.7375
780,24160,1,B3,S,211.3375
781,2687,3,,C,7.2292
782,17474,1,B20,S,57
783,113501,1,D6,S,30
784,W./C. 6607,3,,S,23.45
785,SOTON/O.Q. 3101312,3,,S,7.05
786,374887,3,,S,7.25
787,3101265,3,,S,7.4958
788,382652,3,,Q,29.125
789,C.A. 2315,3,,S,20.575
790,PC 17593,1,B82 B84,C,79.2
791,12460,3,,Q,7.75
792,239865,2,,S,26
793,CA. 2343,3,,S,69.55
794,PC 17600,1,,C,30.6958
795,349203,3,,S,7.8958
796,28213,2,,S,13
797,17465,1,D17,S,25.9292
798,349244,3,,S,8.6833
799,2685,3,,C,7.2292
800,345773,3,,S,24.15
801,250647,2,,S,13
802,C.A. 31921,2,,S,26.25
803,113760,1,B96 B98,S,120
804,2625,3,,C,8.5167
805,347089,3,,S,6.975
806,347063,3,,S,7.775
807,112050,1,A36,S,0
808,347087,3,,S,7.775
809,248723,2,,S,13
810,113806,1,E8,S,53.1
811,3474,3,,S,7.8875
812,A/4 48871,3,,S,24.15
813,28206,2,,S,10.5
814,347082,3,,S,31.275
815,364499,3,,S,8.05
816,112058,1,B102,S,0
817,STON/O2. 3101290,3,,S,7.925
818,S.C./PARIS 2079,2,,C,37.0042
819,C 7075,3,,S,6.45
820,347088,3,,S,27.9
821,12749,1,B69,S,93.5
822,315098,3,,S,8.6625
823,19972,1,,S,0
824,392096,3,E121,S,12.475
825,3101295,3,,S,39.6875
826,368323,3,,Q,6.95
827,1601,3,,S,56.4958
828,S.C./PARIS 2079,2,,C,37.0042
829,367228,3,,Q,7.75
830,113572,1,B28,,80
831,2659,3,,C,14.4542
832,29106,2,,S,18.75
833,2671,3,,C,7.2292
834,347468,3,,S,7.8542
835,2223,3,,S,8.3
836,PC 17756,1,E49,C,83.1583
837,315097,3,,S,8.6625
838,392092,3,,S,8.05
839,1601,3,,S,56.4958
840,11774,1,C47,C,29.7
841,SOTON/O2 3101287,3,,S,7.925
842,S.O./P.P. 3,2,,S,10.5
843,113798,1,,C,31
844,2683,3,,C,6.4375
845,315090,3,,S,8.6625
846,C.A. 5547,3,,S,7.55
847,CA. 2343,3,,S,69.55
848,349213,3,,C,7.8958
849,248727,2,,S,33
850,17453,1,C92,C,89.1042
851,347082,3,,S,31.275
852,347060,3,,S,7.775
853,2678,3,,C,15.2458
854,PC 17592,1,D28,S,39.4
855,244252,2,,S,26
856,392091,3,,S,9.35
857,36928,1,,S,164.8667
858,113055,1,E17,S,26.55
859,2666,3,,C,19.2583
860,2629,3,,C,7.2292
861,350026,3,,S,14.1083
862,28134,2,,S,11.5
863,17466,1,D17,S,25.9292
864,CA. 2343,3,,S,69.55
865,233866,2,,S,13
866,236852,2,,S,13
867,SC/PARIS 2149,2,,C,13.8583
868,PC 17590,1,A24,S,50.4958
869,345777,3,,S,9.5
870,347742,3,,S,11.1333
871,349248,3,,S,7.8958
872,11751,1,D35,S,52.5542
873,695,1,B51 B53 B55,S,5
